,OBJECTID,TYPE_REG,ID_ETABLISSEMENT,NOM,UNITE_LOCALE,COMPLEMENT_LOCALI,STATUT_REG,IMMAT_DT,TYPE_LOCAL,CODE_NOGA,BRANCHE,ACTIVITE_DETAIL,TAILLE,RAISON_SOC_PARENT,ID_ENTREPRISE,TEL_PRINCIPAL,TEL_SECONDAIRE,FAX,EMAIL,SITE_INTERNET,PHYS_RUE,PHYS_NUMRUE,PHYS_NPA,PHYS_LOCALITE,PHYS_COMMUNE,IDPADR,ADRESSE,NUM_IDE,RAISON_SOCIALE,NATURE_JURID,SIEGE_CANTON,SIEGE_PAYS,SOUS_TYPE,E,N
15855,14693,Etablissement,1-4XH-19394,C-Quadrat,69578349.0,,En activité,2018-01-10,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,C-Quadrat (Suisse) SA,1-4XH-19375,41228194073.0,,,f.michienzi@c-quadrat.com,http://www.c-quadrat.com,Quai des Bergues,29,1201,Genève,Genève-Cité,930225002216,Quai des Bergues 29,,C-Quadrat,,,,,2500224.32,1118056.79
16015,15189,Etablissement,1-4XH-25037,BBAM,70688981.0,,En activité,2006-11-21,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,BBAM SA,1-4XH-24895,41225964700.0,,,bbam@bbam-ge.ch,http://www.bbam-ge.ch,Rue Pedro-MEYLAN,1,1208,Genève,Genève-Eaux-Vives,930225018617,Rue Pedro-MEYLAN 1,,BBAM,,,,,2501584.52,1116810.2
16023,15197,Etablissement,1-4XH-25730,APMI - Atrium Portfolio Management,70956740.0,,En activité,2007-03-19,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,APMI - Atrium Portfolio Management and Investment SA,1-4XH-25729,41223220940.0,,41223220941.0,,,Rue du Conseil-Général,14,1205,Genève,Genève-Cité,930225007665,Rue du Conseil-Général 14,,APMI - Atrium Portfolio Management,,,,,2499981.38,1117215.38
16281,17304,Etablissement,1-4XH-30718,APIFINANCE,72272744.0,,En activité,2008-06-13,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,APIFINANCE SA,1-4XH-30717,41227352211.0,,,,,Rue des Pierres-du-Niton,17,1207,Genève,Genève,930225022052,Rue des Pierres-du-Niton 17,,APIFINANCE,,,,,2501074.28,1117737.42
16407,18055,Etablissement,1-4XH-27141,AWAP Asset Management,72014863.0,,En activité,2008-04-14,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,AWAP Asset Management SA,1-4XH-27300,41225101250.0,,,info@awap-am.ch,http://www.awap-am.ch,Rue du Mont-Blanc,4,1201,Genève,Genève,930225019467,Rue du Mont-Blanc 4,,AWAP Asset Management,,,,,2500339.97,1118136.74
16513,17826,Etablissement,1-4XH-27056,ELYSTONE CAPITAL,67674731.0,,En activité,2007-11-26,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,ELYSTONE CAPITAL SA,1-4XH-27055,41227076707.0,,41227076700.0,team@elystonecapital.com,http://www.elystonecapital.com,Quai Gustave-ADOR,30,1207,Genève,Genève,930225000095,Quai Gustave-ADOR 30,,ELYSTONE CAPITAL,,,,,2501188.07,1117949.11
16540,17368,Etablissement,1-4XH-31435,Galapagos Advisory,73489712.0,,En activité,2009-09-21,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Galapagos Advisory SA,1-4XH-31434,41225520037.0,41225917938.0,,,http://www.globaldaler.com,Rue du Mont-Blanc,7,1201,Genève,Genève-Cité,930225019470,Rue du Mont-Blanc 7,,Galapagos Advisory,,,,,2500236.28,1118188.66
16578,17842,Etablissement,1-4XH-30844,Saffery Trust,72402343.0,,En activité,2008-07-30,Bureau/étude/cabinet,692000,Activités comptables; fiduciaires,,20-49 travailleurs,Saffery Trust (Suisse) SA,1-4XH-28543,41223190970.0,,,info@saffery.com,https://www.saffery.com,Rue de la Confédération,5,1204,Genève,Genève-Cité,930225007633,Rue de la Confédération 5,,Saffery Trust,,,,,2500107.38,1117753.79
16822,17684,Etablissement,1-4XH-30126,Vulcan assets management,72344299.0,,En activité,2008-07-08,Bureau/étude/cabinet,663002,Gestion de fonds,Gestion de fortune et prise de participations,6-9 travailleurs,VULCAN ASSETS MANAGEMENT SA,1-4XH-30125,41223200634.0,,41227356148.0,info@vulcan-am.ch,http://www.vulcan-am.ch,Route de Malagnou,38A,1208,Genève,Genève,960611093447,Route de Malagnou 38A,,Vulcan assets management,,,,,2501324.47,1116939.2
16868,17459,Etablissement,1-4XH-30590,BCT Bastion Capital & Trust,72563144.0,,En activité,2008-10-08,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,BCT Bastion Capital & Trust SA,1-4XH-30589,41227401000.0,,41227417077.0,info@bctbastion.com,http://www.bctbastion.com,Cours des Bastions,5,1205,Genève,Genève,930225001628,Cours des Bastions 5,,BCT Bastion Capital & Trust,,,,,2500391.5,1117099.27
16872,17688,Etablissement,1-4XH-30794,Amerys,72280200.0,,En activité,2008-06-17,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Amerys SA,1-4XH-30793,41223228990.0,,41223228999.0,,,Route de Malagnou,38A,1208,Genève,Genève,960611093447,Route de Malagnou 38A,,Amerys,,,,,2501324.47,1116939.2
16917,18164,Etablissement,1-4XH-32371,Mount-Invest,73245663.0,,En activité,2009-06-23,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Mount-Invest SA,1-4XH-32370,41225101200.0,,,info@mount-invest.com,https://mount-invest.com/,Rue du Mont-Blanc,4,1201,Genève,Genève,930225019467,Rue du Mont-Blanc 4,,Mount-Invest,,,,,2500339.97,1118136.74
16960,17935,Etablissement,1-4XH-28521,ORIEL CAPITAL,72915621.0,,En activité,2009-02-12,Bureau/étude/cabinet,649901,Sociétés d'investissement,,3-5 travailleurs,ORIEL CAPITAL SA,1-4XH-28520,41763703229.0,,,michelle.valfells@orielcapital.ch,,Rue de la Tour-Maîtresse,4,1204,Genève,Genève,930225028972,Rue de la Tour-Maîtresse 4,,ORIEL CAPITAL,,,,,2500666.24,1117632.28
17050,18103,Etablissement,1-4XH-27877,AVR Capital,71553019.0,,En activité,2007-10-01,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",Gestion de portefeuilles,6-9 travailleurs,AVR Capital SA,1-4XH-27876,41229010067.0,,,info@avrcapital.ch,http://www.avrcapital.ch,Rue du Mont-Blanc,7,1201,Genève,Genève-Cité,930225019470,Rue du Mont-Blanc 7,,AVR Capital,,,,,2500236.28,1118188.66
17487,16609,Etablissement,1-4XH-25373,Liberties Investments,70646651.0,,En activité,2006-11-03,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",,10-19 travailleurs,Liberties Investments SA,1-3F760Y,41228180010.0,,41223101210.0,afa@ecosail.ch,,Rue du Rhône,63,1204,Genève,Genève-Cité,930225045704,Rue du Rhône 63,,Liberties Investments,,,,,2500868.97,1117631.46
17514,17210,Etablissement,1-4XH-3520,FLORNOY & Associés,65381048.0,,En activité,1998-10-13,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,FLORNOY & Associés Gestion Genève SA,1-4XH-3718,41228559922.0,,,contact@flornoy.com,https://www.flornoy.com/,Rue du Rhône,116,1204,Genève,Genève-Cité,930225024551,Rue du Rhône 116,,FLORNOY & Associés,,,,,2500883.79,1117604.81
17644,17163,Etablissement,1-4XH-34646,Ellipse Finance,74815936.0,,En activité,2010-05-17,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Ellipse Finance SA,1-4XH-34645,41227616161.0,,41227616162.0,ellipsefinance@ellipsefinance.com,,Rue du Vieux-Collège,4,1204,Genève,Genève,930225031190,Rue du Vieux-Collège 4,,Ellipse Finance,,,,,2500554.76,1117523.84
17776,17134,Etablissement,1-4XH-31374,Vierny Partners,73371016.0,,En activité,2009-08-11,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",,3-5 travailleurs,Vierny Partners SA,1-4XH-31354,41227043010.0,,41227043011.0,vierny@vierny-partners.com,http://vierny-partners.com,Rue De-CANDOLLE,26,1205,Genève,Genève-Cité,930225004148,Rue De-CANDOLLE 26,,Vierny Partners,,,,,2500188.96,1117064.89
17813,16693,Etablissement,1-4XH-22850,PRESTINVEST,69956234.0,,En activité,2006-01-26,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,PRESTINVEST SA,1-4XH-22604,41227002323.0,,41227009324.0,ofm@prestinvest.ch,https://www.prestinvest.ch/,Rue de la Rôtisserie,4,1204,Genève,Genève-Cité,930225025159,Rue de la Rôtisserie 4,,PRESTINVEST,,,,,2500216.41,1117658.21
17837,17179,Etablissement,1-4XH-31971,AV Management,73438241.0,,En activité,2009-09-08,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",,3-5 travailleurs,AV Management SA,1-4XH-31970,41223105800.0,,41227325465.0,info@avmanagement.ch,http://www.avmanagement.ch,Rue Claudine-LEVET,7,1201,Genève,Genève-Cité,930225014094,Rue Claudine-LEVET 7,,AV Management,,,,,2499944.3,1118056.28
17924,16470,Etablissement,1-4XH-26609,Majorelle,72027380.0,,En activité,2008-04-21,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Majorelle SA,1-4XH-26608,41227323148.0,,41227323149.0,anita@majorelle.ch,,Rue de Chantepoulet,23,1201,Genève,Genève,930225005523,Rue de Chantepoulet 23,,Majorelle,,,,,2500023.22,1118237.86
17933,16717,Etablissement,1-4XH-26643,Amity Partners,69871125.0,,En activité,2008-04-23,Bureau/étude/cabinet,663002,Gestion de fonds,,10-19 travailleurs,Amity Partners Sàrl,1-4XH-26575,41227354980.0,,41227355182.0,,,Rue du Rhône,118,1204,Genève,Genève-Cité,930225024552,Rue du Rhône 118,,Amity Partners,,,,,2500903.98,1117598.34
18039,17205,Etablissement,1-4XH-35170,Convergence,74243767.0,,En activité,2010-02-15,Bureau/étude/cabinet,663002,Gestion de fonds,Conseil en investissements,3-5 travailleurs,Convergence SA,1-4XH-35513,41228171171.0,,,info@convergence-sa.com,http://www.convergence-sa.com,Rue de Saint-Léger,8,1205,Genève,Genève-Cité,930225025968,Rue de Saint-Léger 8,,Convergence,,,,,2500237.42,1117074.6
18100,16260,Etablissement,1-4XH-26001,Stanhope Capital,72157995.0,,En activité,2008-05-05,Bureau/étude/cabinet,663002,Gestion de fonds,Gestion de fortune,10-19 travailleurs,STANHOPE CAPITAL (SWITZERLAND) SA,1-4XH-26000,41228393200.0,,41228393201.0,geneva@stanhopecapital.ch,https://www.stanhopecapital.com/,Square de l'Académie,5,1205,Genève,Genève,140930114638,Square de l'Académie 5,,Stanhope Capital,,,,,2500040.18,1117177.48
18172,16526,Etablissement,1-4XH-24417,Equus Portfolio Management,71326361.0,,En activité,2007-06-29,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Equus Portfolio Management SA,1-4XH-22941,41227078222.0,,41227078225.0,info@equuspm.ch,https://www.equuspm.ch/,Boulevard Helvétique,36,1207,Genève,Genève,930225014585,Boulevard Helvétique 36,,Equus Portfolio Management,,,,,2500933.59,1117546.11
18175,16529,Etablissement,1-4XH-24429,PiC Finance,71122577.0,,En activité,2007-04-26,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,PiC Finance SA,1-4XH-24410,41223105589.0,,41223184869.0,info@picfinance.ch,,Rue de la Fontaine,13,1204,Genève,Genève,930225011315,Rue de la Fontaine 13,,PiC Finance,,,,,2500513.91,1117485.72
18255,16802,Etablissement,1-4XH-21464,Jabre Capital Partners,70595599.0,,En activité,2006-10-10,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Jabre Capital Partners SA,1-4XH-21463,41225562200.0,,41225562201.0,info@jabcap.com,https://www.jabcap.com/,Rue des Moulins,1,1204,Genève,Genève,930225019961,Rue des Moulins 1,,Jabre Capital Partners,,,,,2499992.92,1117885.4
18331,19790,Etablissement,1-4XH-34194,INVESTISSEMENTS 46,72990566.0,,En activité,2009-03-11,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,INVESTISSEMENTS 46 S.A.,1-4XH-34193,41228072363.0,,,info@i46.ch,,Rue Verdaine,11,1204,Genève,Genève,930225030179,Rue Verdaine 11,,INVESTISSEMENTS 46,,,,,2500545.42,1117461.01
18601,20207,Etablissement,1-4XH-34284,Primenest,73170772.0,,En activité,2009-05-19,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Primenest SA,1-4XH-34283,41223107809.0,,41223107806.0,contact@primenest.ch,https://primenest.ch,Rue de la Cité,1,1204,Genève,Genève-Cité,930225006787,Rue de la Cité 1,,Primenest,,,,,2500065.62,1117737.47
18754,19445,Etablissement,1-4XH-357,Priban,70213222.0,,En activité,1997-02-26,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,Priban SA,1-4XH-356,41228798830.0,,41228798833.0,info@priban.ch,http://www.priban.ch,Rue des Granges,5,1204,Genève,Genève,930225013908,Rue des Granges 5,,Priban,,,,,2500149.2,1117514.94
19136,19535,Etablissement,1-4XH-34298,CDMA,72986905.0,,En activité,2009-03-10,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,CDMA SA,1-4XH-34297,41223018877.0,,,shani@cdma.ch,http://www.cdma.ch,Boulevard des Philosophes,17,1205,Genève,Genève,930225021765,Boulevard des Philosophes 17,,CDMA,,,,,2500195.18,1116976.23
19292,19097,Etablissement,1-4XH-35818,PrimeGate,74526538.0,,En activité,2010-03-23,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,PrimeGate SA,1-4XH-35817,41227357060.0,,,info@primegatesa.com,http://www.primegatesa.com,Cours de Rive,4,1204,Genève,Genève-Cité,930225024787,Cours de Rive 4,,PrimeGate,,,,,2500738.67,1117502.59
19501,18615,Etablissement,1-4XH-32561,Alex Morgenbesser - Yekara,11933417.0,,En activité,2009-11-06,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",,1-2 travailleurs,Alex Morgenbesser - Yekara,1-4XH-32541,41223205511.0,,,alex@morgenbesser.info,,Rue Kitty-PONSE,5,1205,Genève,Genève-Cité,930225029453,Rue Kitty-PONSE 5,,Alex Morgenbesser - Yekara,,,,,2500037.75,1117165.39
19557,18385,Etablissement,1-4XH-28649,Swiss Finance Management International,71491064.0,,En activité,2007-09-05,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",Gestion de valeurs et actifs mobiliers,6-9 travailleurs,Swiss Finance Management International SA,1-4XH-28648,41227070260.0,,41227070269.0,info@swissfim.com,https://www.swissfim.com/,Rue MAURICE,3,1204,Genève,Genève-Cité,930225018318,Rue MAURICE 3,,Swiss Finance Management International,,,,,2500511.8,1117234.29
19834,18969,Etablissement,1-4XH-40490,Manely,80413154.0,,En activité,2011-05-16,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",,3-5 travailleurs,Manely SA,1-4XH-40422,41225106803.0,,,carlos.fernandez@manely-sa.com,,Rue de l'Athénée,24,1206,Genève,Genève,930225001051,Rue de l'Athénée 24,,Manely,,,,,2500722.23,1116823.09
20118,18275,Etablissement,1-4XH-30970,PraxisIFM Trustees,72388191.0,,En activité,2008-07-24,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,PraxisIFM Trustees SA,1-4XH-30990,41225666500.0,,,switzerland@praxisgroup.com,https://www.praxisifm.com,Rue de Jargonnant,2,1207,Genève,Genève-Eaux-Vives,930225015386,Rue de Jargonnant 2,,PraxisIFM Trustees,,,,,2501298.32,1117431.76
20324,21359,Etablissement,1-4XH-40093,BLUE BOX WEALTH MANAGEMENT,81465761.0,,En activité,2011-07-27,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,BLUE BOX WEALTH MANAGEMENT SA,1-4XH-40092,41227867261.0,,,luis.viveros@blueboxwm.com,,Boulevard Helvétique,36,1207,Genève,Genève,930225014585,Boulevard Helvétique 36,,BLUE BOX WEALTH MANAGEMENT,,,,,2500933.59,1117546.11
20536,21654,Etablissement,1-4XH-41843,Asset Street,80139103.0,,En activité,2011-04-15,Bureau/étude/cabinet,663002,Gestion de fonds,,,Asset Street SA,1-4XH-41842,,,,,,Rue François-VERSONNEX,7,1207,Genève,Genève-Cité,930225030549,Rue François-VERSONNEX 7,,Asset Street,,,,,2500933.47,1117660.94
20815,21948,Etablissement,1-4XH-38550,Pomery Capital,77391479.0,,En activité,2010-08-20,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Pomery Capital SA,1-4XH-38531,41227326105.0,,41227326107.0,info@pomerycapital.ch,https://www.pomerycapital.ch,Rue de la Tour-de-l'Ile,1,1204,Genève,Genève,930225028935,Rue de la Tour-de-l'Ile 1,,Pomery Capital,,,,,2500019.03,1117902.46
21075,22143,Etablissement,1-4XH-51334,Doral Financial Advisors,86016987.0,,En activité,2013-04-22,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Doral Financial Advisors Sàrl,1-4XH-51333,41227897938.0,,41227897935.0,info@doral-financial-advisors.ch,http://www.doral-financial-advisors.ch,Boulevard James-FAZY,13,1201,Genève,Genève,930225010791,Boulevard James-FAZY 13,,Doral Financial Advisors,,,,,2499767.57,1118179.38
21098,21554,Etablissement,1-4XH-43566,ACCURATE WEALTH MANAGEMENT,82827185.0,,En activité,2012-02-15,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,ACCURATE WEALTH MANAGEMENT SA,1-4XH-43565,41223110047.0,41792121042.0,,info@accuratewealth.ch,https://www.accuratewealth.ch/,Quai de l'Ile,15,1204,Genève,Genève,930225015262,Quai de l'Ile 15,,ACCURATE WEALTH MANAGEMENT,,,,,2500069.76,1117892.25
21167,21574,Etablissement,1-4XH-39383,FIDES Trustees,75196930.0,,En activité,2010-07-21,Bureau/étude/cabinet,692000,Activités comptables; fiduciaires,Création et gestion de sociétés,6-9 travailleurs,FIDES Trustees SA,1-4XH-39382,41223091555.0,,41223091550.0,office@fidestrustees.com,http://fidestrustees.com,Rue de la Croix-d'Or,19,1204,Genève,Genève,930225008687,Rue de la Croix-d'Or 19,,FIDES Trustees,,,,,2500477.08,1117626.8
21191,22033,Etablissement,1-4XH-43480,Axia Management,82717478.0,,En activité,2012-02-03,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Axia Management SA,1-4XH-43479,41225252204.0,,,axia@axiamgmt.ch,http://www.axiamgmt.com,Rue de Lausanne,72,1202,Genève,Genève,930225044605,Rue de Lausanne 72,,Axia Management,,,,,2500362.47,1119077.88
21298,20863,Etablissement,1-4XH-41470,Hyposwiss Advisors,79707018.0,,En activité,2011-03-11,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,Hyposwiss Advisors SA,1-4XH-41469,41223107640.0,,41223107639.0,info@advisors.hyposwiss.ch,https://advisors.hyposwiss.ch/,Boulevard du Théâtre,10,1204,Genève,Genève-Cité,930225028496,Boulevard du Théâtre 10,,Hyposwiss Advisors,,,,,2499927.17,1117509.17
21365,21125,Etablissement,1-4XH-4714,V.L. & Associés,65919897.0,,En activité,2000-01-20,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,"V.L. & ASSOCIES, GERANCE DE FORTUNES SA",1-4XH-4713,41227006563.0,,41227006561.0,g.tschopp@vlassocies.ch,,Rue de Lausanne,69,1202,Genève,Genève,930225048371,Rue de Lausanne 69,,V.L. & Associés,,,,,2500357.32,1119119.08
21431,20900,Etablissement,1-4XH-47092,FP WEALTH SOLUTIONS,83651127.0,,En activité,2012-06-13,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,FP WEALTH SOLUTIONS SA,1-4XH-47091,41227359376.0,,,info@FPWSolutions.com,https://www.fpwsolutions.com/,Avenue PICTET-De-ROCHEMONT,7,1207,Genève,Genève,930225021881,Avenue PICTET-De-ROCHEMONT 7,,FP WEALTH SOLUTIONS,,,,,2501133.3,1117575.22
21708,20435,Etablissement,1-4XH-44423,Ness Family Office,84319086.0,,En activité,2012-09-20,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Ness Family Office SA,1-4XH-44422,41228880850.0,,,eo@nessfo.ch,,Place des Eaux-Vives,8,1207,Genève,Genève-Cité,930225009707,Place des Eaux-Vives 8,,Ness Family Office,,,,,2500974.12,1117501.82
21724,20693,Etablissement,1-4XH-45032,Azure Wealth,82066783.0,,En activité,2011-10-10,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,AZURE WEALTH SWITZERLAND SA,1-4XH-45031,41227374106.0,,41227374104.0,,,Rue du Rhône,114,1204,Genève,Genève-Cité,930225024550,Rue du Rhône 114,,Azure Wealth,,,,,2500863.5,1117611.33
21779,20458,Etablissement,1-4XH-44796,Targa 5 Advisors,82322809.0,,En activité,2011-11-22,Bureau/étude/cabinet,663002,Gestion de fonds,,10-19 travailleurs,Targa 5 Advisors SA,1-4XH-44795,41227325050.0,,41227325064.0,info@t-advisors.ch,https://targa5.com, Grand-Rue,23,1204,Genève,Genève-Cité,930225013622,Grand-Rue 23,,Targa 5 Advisors,,,,,2500228.72,1117529.01
21864,20736,Etablissement,1-4XH-45581,RJ Management,83914022.0,,En activité,2012-07-18,Bureau/étude/cabinet,663002,Gestion de fonds,,10-19 travailleurs,RJ Management SA,1-4XH-45580,41228880050.0,,41228880010.0,pfarha@rjmanagement.ch,http://www.rjmanagement.ch,Cours de Rive,5,1204,Genève,Genève,930225024788,Cours de Rive 5,,RJ Management,,,,,2500756.7,1117530.71
21922,20745,Etablissement,1-4XH-45777,AlphaMatrix Finance,84346839.0,,En activité,2012-09-24,Bureau/étude/cabinet,661200,Courtage de valeurs mobilières et de marchandises,Placement de capitaux et fiduciaire,3-5 travailleurs,AlphaMatrix Finance SA,1-4XH-45776,41225525840.0,,41225525841.0,info@alphamatrix.ch,https://www.alphamatrix.ch,Rue de la Croix-d'Or,17A,1204,Genève,Genève-Cité,930225008686,Rue de la Croix-d'Or 17A,,AlphaMatrix Finance,,,,,2500475.01,1117648.34
22127,21064,Etablissement,1-4XH-47196,GVA ASSOCIES,83348887.0,,En activité,2012-04-25,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",,10-19 travailleurs,GVA ASSOCIES SA,1-4XH-47195,41228160707.0,,41228160708.0,psierro@gvaassociers.ch,https://gvaassocies.ch,Rue du Stand,60,1204,Genève,Genève,930225027823,Rue du Stand 60,,GVA ASSOCIES,,,,,2499840.7,1117727.14
22132,21069,Etablissement,1-4XH-47210,Emeraude Suisse Capital,83581805.0,,En activité,2012-05-30,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Emeraude Suisse Capital SA,1-4XH-47209,41223191940.0,41764277898.0,41223191941.0,contact@escap.ch,https://www.escap.ch/,Rue du Conseil-Général,4,1204,Genève,Genève,940726115523,Rue du Conseil-Général 4,,Emeraude Suisse Capital,,,,,2499988.35,1117370.56
22139,21076,Etablissement,1-4XH-47107,Dôme Capital Partners,83205844.0,,En activité,2012-04-04,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,Dôme Capital Partners SA,1-4XH-47106,41224363700.0,,41224363709.0,SVauthey@dome-capital.com,http://www.dome-capital.com,Boulevard du Théâtre,12,1204,Genève,Genève,930225028498,Boulevard du Théâtre 12,,Dôme Capital Partners,,,,,2499937.45,1117487.61
22141,20287,Etablissement,1-4XH-36805,MONTIS Asset Management,78341500.0,,En activité,2010-12-10,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,MONTIS Asset Management SA,1-4XH-36804,41223225600.0,,41223225609.0,secretariat@montis-am.com,,Rue de la Mairie,3,1207,Genève,Genève-Eaux-Vives,930225017158,Rue de la Mairie 3,,MONTIS Asset Management,,,,,2501139.4,1117690.39
22269,21108,Etablissement,1-4XH-44755,C4 First Conseil et Gestion de Patrimoines,81560671.0,,En activité,2011-08-18,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",,1-2 travailleurs,C4 First Conseil et Gestion de Patrimoines SA,1-4XH-45117,41223104748.0,,41223104749.0,daniel.vicente@c4first.com,,Rue du Purgatoire,1,1204,Genève,Genève,930225023957,Rue du Purgatoire 1,,C4 First Conseil et Gestion de Patrimoines,,,,,2500488.14,1117574.16
22337,24094,Etablissement,1-4XH-53315,GVAdvisors,86126359.0,,En activité,2013-05-14,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,GVAdvisors SA,1-4XH-53314,41223107060.0,,41223107061.0,hkhayat@gvadvisors.ch,http://www.gvadvisors.ch,Rue de la Croix-d'Or,19A,1204,Genève,Genève-Cité,930225008688,Rue de la Croix-d'Or 19A,,GVAdvisors,,,,,2500478.57,1117649.56
22444,23652,Etablissement,1-4XH-4808,Summit Trust International,65769411.0,,En activité,1999-10-01,Bureau/étude/cabinet,692000,Activités comptables; fiduciaires,Création et administration de trusts,20-49 travailleurs,Summit Trust International SA,1-4XH-4807,41227078399.0,,41227078395.0,info@summittrustgroup.com,https://www.summit-group.com/,Place des Eaux-Vives,6,1207,Genève,Genève,930225009705,Place des Eaux-Vives 6,,Summit Trust International,,,,,2500982.13,1117527.68
22497,23657,Etablissement,1-4XH-48096,CdR Capital,84976989.0,,En activité,2013-01-04,Bureau/étude/cabinet,663002,Gestion de fonds,,10-19 travailleurs,CdR Capital SA,1-4XH-48095,41223178090.0,,,info@cdr-capital.com,https://cdr-capital.com,Cours de Rive,6,1204,Genève,Genève,930225024789,Cours de Rive 6,,CdR Capital,,,,,2500759.19,1117479.38
22509,23669,Etablissement,1-4XH-46799,Forward Capital,83101931.0,,En activité,2012-03-16,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Forward Capital SA,1-4XH-46798,41223218386.0,,,contact@fwdc.ch,http://www.fwdc.ch,Quai du Rhône,8,1205,Genève,Genève,930225024555,Quai du Rhône 8,,Forward Capital,,,,,2499208.27,1117655.54
22578,23896,Etablissement,1-4XH-56945,LO PATRIMONIA,88566505.0,,En activité,2014-04-07,Bureau/étude/cabinet,663002,Gestion de fonds,,20-49 travailleurs,LO Patrimonia SA,1-4XH-56944,41223204274.0,,,ressources_humaines@lombardodier.com,https://www.lombardodier.com,Rue des Bains,33,1205,Genève,Genève-Plainpalais,930225040888,Rue des Bains 33,,LO PATRIMONIA,,,,,2499530.55,1117207.19
22791,24225,Etablissement,1-4XH-56492,CJC ADVISORS,89334615.0,,En activité,2014-09-30,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",,10-19 travailleurs,CJC ADVISORS SA,1-4XH-56491,41223180000.0,,41223180001.0,cjc@cjcadvisors.ch,https://www.cjcadvisors.ch/,Rue du Rhône,30,1204,Genève,Genève,930225024521,Rue du Rhône 30,,CJC ADVISORS,,,,,2500216.06,1117824.96
22924,24165,Etablissement,1-4XH-57736,AlphaSwiss Partners,88568649.0,,En activité,2014-04-07,Bureau/étude/cabinet,663002,Gestion de fonds,Gestion de fortune et investissements,10-19 travailleurs,AlphaSwiss Partners SA,1-4XH-57045,41223178140.0,,41223178149.0,info@alphaswiss.com,http://www.alphaswiss.com,Place du Molard,7,1204,Genève,Genève,930225019070,Place du Molard 7,,AlphaSwiss Partners,,,,,2500385.83,1117693.75
